created_at,humidity,temperature_c
7/18/26 22:19,73.6,-21.09
7/18/26 22:09,73.66,-21.14
7/18/26 22:00,73.81,-21.2
7/18/26 21:49,73.85,-21.28
7/18/26 21:39,73.36,-21.32
7/18/26 21:29,73.81,-21.31
7/18/26 21:19,73.72,-21.32
7/18/26 21:09,73.88,-21.31
7/18/26 20:59,73.57,-21.28
7/18/26 20:49,74.05,-21.19
7/18/26 20:39,74.18,-21.14
7/18/26 20:29,73.66,-20.86
7/18/26 20:19,75.09,-20.39
7/18/26 20:09,80.24,-20.46
7/18/26 19:59,76.72,-20.61
7/18/26 19:49,82.43,-19.66
7/18/26 19:40,90.85,-19.59
7/18/26 19:29,74.99,-20.74
7/18/26 19:19,72.85,-20.64
7/18/26 19:09,73.91,-19.89
7/18/26 18:59,75.69,-18.98
7/18/26 18:49,79.37,-17.85
7/18/26 18:39,82.89,-15.87
7/18/26 18:29,89.26,-13.83
7/18/26 18:19,92.08,-14.41
7/18/26 18:09,89.78,-15.75
7/18/26 17:59,88.44,-17.02
7/18/26 17:49,86.89,-18.06
7/18/26 17:39,85.06,-18.77
7/18/26 17:29,86.02,-18.33
7/18/26 17:19,79.78,-20.76
7/18/26 17:09,75.72,-20.9
7/18/26 16:59,75.9,-20.96
7/18/26 16:49,75.93,-21.01
7/18/26 16:39,75.94,-21.03
7/18/26 16:30,76,-21.08
7/18/26 16:19,76.12,-21.11
7/18/26 16:09,76.08,-21.16
7/18/26 15:59,75.9,-21.14
7/18/26 15:49,76.21,-21.15
7/18/26 15:39,76.1,-21.16
7/18/26 15:30,75.91,-21.15
7/18/26 15:19,75.68,-21.06
7/18/26 15:09,75.78,-20.88
7/18/26 14:59,76.18,-20.63
7/18/26 14:49,76.76,-20.47
7/18/26 14:39,77.7,-20.34
7/18/26 14:29,77.19,-20.38
7/18/26 14:19,76.82,-20.33
7/18/26 14:09,74.02,-19.73
7/18/26 13:59,74.97,-18.41
7/18/26 13:49,78.79,-16.49
7/18/26 13:39,85.98,-14.4
7/18/26 13:29,93.1,-13.91
7/18/26 13:19,90.99,-15.25
7/18/26 13:09,90.93,-16.63
7/18/26 12:59,90.01,-17.98
7/18/26 12:49,88.66,-19.13
7/18/26 12:39,86.02,-20.34
7/18/26 12:29,78.02,-21.03
7/18/26 12:19,77.54,-20.95
7/18/26 12:10,77.66,-20.91
7/18/26 12:00,77.89,-20.94
7/18/26 11:49,77.95,-20.88
7/18/26 11:39,78.21,-20.87
7/18/26 11:29,78.31,-20.84
7/18/26 11:19,78.63,-20.84
7/18/26 11:09,78.74,-20.85
7/18/26 10:59,79.03,-20.86
7/18/26 10:49,79.16,-20.87
7/18/26 10:39,79.35,-20.91
7/18/26 10:29,79.56,-20.91
7/18/26 10:19,79.92,-20.94
7/18/26 10:09,80.07,-20.98
7/18/26 9:59,80.44,-21.03
7/18/26 9:49,80.87,-21.11
7/18/26 9:39,81.31,-21.13
7/18/26 9:29,81.61,-21.15
7/18/26 9:19,82.29,-21.14
7/18/26 9:09,82.87,-21.17
